"","Date","OnDeckBatter","OPS+","ROB","LI","Result"
"1","2023-03-30","Austin Hays",105,"1--","1.71","HR"
"2","2023-03-30","Freddie Freeman",156,"-23","1.8","SO"
"3","2023-03-30","Ji Hwan Bae",137,"---","0.54","Out"
"4","2023-03-30","Hunter Renfroe",124,"---","0.46","BB"
"5","2023-03-30","Taylor Ward",134,"--3","2.02","1B"
"6","2023-03-30","Brandon Nimmo",130,"---","0.31","Out"
"7","2023-03-30","Myles Straw",65,"---","0.97","Out"
"8","2023-03-31","Jake McCarthy",117,"1--","1.05","SO"
"9","2023-03-30","Alex Call",115,"1--","1.5","2B"
"10","2023-03-31","Luis Robert Jr.",110,"---","0.87","BB"
"11","2023-04-01","Jason Heyward",56,"---","0","SO"
"12","2023-04-01","Thairo Estrada",105,"123","2.6","SO"
"13","2023-04-01","Steven Kwan",124,"---","0.68","SO"
"14","2023-04-01","Juan Soto",147,"-2-","0.84","Out"
"15","2023-04-01","Keibert Ruiz",94,"---","0.35","BB"
"16","2023-04-01","Josh Jung",81,"---","0.64","BB"
"17","2023-04-02","Anthony Santander",120,"---","0.63","SO"
"18","2023-04-02","Matt Duffy",77,"---","1.35","Out"
"19","2023-04-02","Miguel Rojas",71,"1--","0.74","SO"
"20","2023-04-02","Xander Bogaerts",131,"---","0.22","Out"
"21","2023-04-02","Tony Kemp",90,"-2-","1.09","Out"
"22","2023-04-03","Adam Duvall",86,"-2-","1.22","HR"
"23","2023-04-02","Manuel Margot",104,"---","0.61","Out"
"24","2023-04-03","Wilmer Flores",101,"---","0.07","BB"
"25","2023-04-03","Jon Berti",88,"---","0.44","SO"
"26","2023-04-03","Bobby Witt Jr.",102,"---","0.46","Out"
"27","2023-04-03","Alejandro Kirk",127,"---","0.81","SO"
"28","2023-04-03","Bo Bichette",128,"12-","0.16","1B"
"29","2023-04-03","Shea Langeliers",99,"---","1.65","SO"
"30","2023-04-04","Canaan Smith-Njigba",138,"---","0.69","Out"
"31","2023-04-04","Rafael Devers",141,"---","0.87","1B"
"32","2023-04-04","Adam Duvall",86,"1-3","1.69","Out"
"33","2023-04-04","Jonathan India",94,"---","0.62","SO"
"34","2023-04-04","Eric Hosmer",107,"123","1.7","1B"
"35","2023-04-04","Jake Meyers",67,"1--","1.49","Out"
"36","2023-04-04","Tyler Stephenson",133,"---","0.41","SO"
"37","2023-04-04","Jake McCarthy",117,"---","0.13","SO"
"38","2023-04-04","Jorge Mateo",84,"-2-","0.54","Out"
"39","2023-04-04","Brandon Drury",123,"1-3","0.13","Out"
"40","2023-04-05","Ryan Jeffers",85,"---","1.73","SO"
"41","2023-04-05","Elvis Andrus",104,"---","0.01","Out"
"42","2023-04-05","Franmil Reyes",80,"1--","1","SO"
"43","2023-04-05","Kyle Farmer",92,"1--","1.03","SO"
"44","2023-04-05","Tony Kemp",90,"---","0.99","Out"
"45","2023-04-05","Michael Chavis",83,"-2-","1.66","1B"
"46","2023-04-05","Corey Seager",117,"1--","0.64","SO"
"47","2023-04-05","Austin Hays",105,"---","0.39","SO"
"48","2023-04-06","Andrew Vaughn",111,"---","0.11","Out"
"49","2023-04-06","Luis Robert Jr.",110,"-23","1.6","1B"
"50","2023-04-06","Spencer Torkelson",74,"12-","1.82","SO"
"51","2023-04-06","Whit Merrifield",90,"---","0.39","SO"
"52","2023-04-07","Kyle Tucker",129,"---","0.49","1B"
